Domain Code,Domain,Area Code,Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
CP,Consumer Price Indices,21,Brazil,2012,2012,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,,73.74588,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2012,2012,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,,73.93032,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2012,2012,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,,74.30731,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2012,2012,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,,74.84981,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2012,2012,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,,75.3587,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2012,2012,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,,76.04437,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2012,2012,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,,76.71358,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2012,2012,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,,77.68019,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2012,2012,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,,78.73654,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2012,2012,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,,79.35863,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2012,2012,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,,80.17597,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2012,2012,23014,Food price inflation,7001,January,%,6.875474,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2012,2012,23014,Food price inflation,7002,February,%,6.832923,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2012,2012,23014,Food price inflation,7003,March,%,6.302551,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2012,2012,23014,Food price inflation,7004,April,%,6.228479,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2012,2012,23014,Food price inflation,7005,May,%,6.334286,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2012,2012,23014,Food price inflation,7006,June,%,7.33642,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2012,2012,23014,Food price inflation,7007,July,%,8.682324,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2012,2012,23014,Food price inflation,7008,August,%,8.855108,Fc,Calculated data,
