"STATISTIC","Statistic Label","TLIST(A1)","Year","C03530V04258","Sector of Activity","C03066V03701","Size of Enterprise","UNIT","VALUE"
"TSA11C04","Number of Importing Enterprises","2017","2017","10","Agriculture and Food (01-03,10-11)","02","Medium (50 to 249)","Number","139"
"TSA11C04","Number of Importing Enterprises","2017","2017","10","Agriculture and Food (01-03,10-11)","03","Large (250 or more)","Number","43"
"TSA11C04","Number of Importing Enterprises","2017","2017","10","Agriculture and Food (01-03,10-11)","99","Unknown","Number",""
"TSA11C04","Number of Importing Enterprises","2017","2017","10","Agriculture and Food (01-03,10-11)","-","All Enterprises","Number","1681"
"TSA11C04","Number of Importing Enterprises","2017","2017","20","Chemicals and Pharmaceuticals (20-21)","05","Micro (0 to 9)","Number","95"
"TSA11C04","Number of Importing Enterprises","2017","2017","20","Chemicals and Pharmaceuticals (20-21)","01","Small (10 to 49)","Number","58"
"TSA11C04","Number of Importing Enterprises","2017","2017","20","Chemicals and Pharmaceuticals (20-21)","02","Medium (50 to 249)","Number","48"
"TSA11C04","Number of Importing Enterprises","2017","2017","20","Chemicals and Pharmaceuticals (20-21)","03","Large (250 or more)","Number","35"
"TSA11C04","Number of Importing Enterprises","2017","2017","20","Chemicals and Pharmaceuticals (20-21)","99","Unknown","Number",""
"TSA11C04","Number of Importing Enterprises","2017","2017","20","Chemicals and Pharmaceuticals (20-21)","-","All Enterprises","Number","236"
"TSA11C04","Number of Importing Enterprises","2017","2017","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","05","Micro (0 to 9)","Number","4687"
"TSA11C04","Number of Importing Enterprises","2017","2017","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","01","Small (10 to 49)","Number","1711"
"TSA11C04","Number of Importing Enterprises","2017","2017","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","02","Medium (50 to 249)","Number","458"
"TSA11C04","Number of Importing Enterprises","2017","2017","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","03","Large (250 or more)","Number","96"
"TSA11C04","Number of Importing Enterprises","2017","2017","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","99","Unknown","Number",""
"TSA11C04","Number of Importing Enterprises","2017","2017","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","-","All Enterprises","Number","6952"
